supplier_name,awarded_amt
assa abloy entrance systems singapore pte. ltd.,61398.0
assa abloy singapore pte ltd,2241199.0
assalaamu'alaikum enterprise,52100.0
asset management consulting limited,1.0
"associated energy group, inc.",3.0
associated geotechnical services co. sdn bhd,47800.0
associated property consultants pte. ltd.,549737.5
association for early childhood educators (singapore),6293068.0
association of muslim professionals,63300.0
assurance partners llp,341437.5
assure safety pte. ltd.,130410.0
assurich industries pte ltd,36500.0
astech pte. ltd.,156000.0
asterand bioscience,39190.5
astrata group pte. ltd.,2292580.0
atelier tang (pte.) ltd.,6478693.2
athena concepts pte. ltd.,69995.0
atkins design engineering consultants pte. ltd.,385500.0
atl maintenance pte. ltd.,23860602.339999996
atlas consulting surveyors,751.0
atlas maintenance pte. ltd.,430000.0
atlas vending solutions pte. ltd.,0.35
atomz i! pte. ltd.,9265010.77
atos information technology (singapore) pte. ltd.,11296724.27
atria architects,4780.0
ats landscaping & construction pte ltd,3482225.0
ats traffic pte ltd,57611929.93
att systems (s'pore) pte ltd,31190379.28
att trafficomms pte. ltd.,198280.0
attain analytics group pte. ltd.,273778.0
attolight sa,2829125.65
audax visuals pte. ltd.,205700.0
audi singapore pte. ltd.,232266.0
audio resources pte ltd,171084.0
audit alliance llp,70326.8
auditime pte. ltd.,126300.0
august international pte. ltd.,1605600.0
aurecon singapore (pte.) ltd.,1137250.0
auric pacific engineering pte ltd,738560.0
auroratherapy,120.0
autism resource centre (singapore),938000.0
auto hangar (india) pvt ltd,92147.34
autodesk asia pte ltd,768796.8
automated micron assembly pte ltd,120660.0
automatic controls and instrumentation pte. ltd.,5937720.0
autus international pte ltd,617590.4
aux media group pte. ltd.,3120383.0
av links communications (asia) pte. ltd.,272319.7
av media pte ltd,1164265.0
av-science marketing pte ltd,1227040.0
av8 media pte ltd,134675.6
ava insurance brokers pte. ltd.,3700993.48
ava-chem industrial pte ltd,50400.0
available. pte. ltd.,201300.0
avanade asia pte ltd,1415467.18
avantus training private limited,67500.0
avemore pte ltd,52392.0
avenue engineering pte. ltd.,36000000.0
avepoint singapore pte. ltd.,14521156.29
aviva ltd,28315685.810000002
avivar audience communications pte. ltd.,86540.0
"avl sea & australia co., ltd.",1721060.0
avm engineering pte. ltd.,434310.0
avon cleaning services pte ltd,236714.79
avon technologies pte ltd,1388900.0
avt (s) pte ltd,4352190.4
avvery engineering pte. ltd.,34383.0
awa industrial pte. ltd.,782172.0
awe environmental systems pte ltd,419290.0
awp pte. ltd.,710200.0
awwa ltd.,82251.0
ax sports pte. ltd.,48000.0
axa insurance pte. ltd.,4657077.53
axa insurance singapore pte ltd,1978295.68
"axcelis technologies, pte. ltd.",103845.91
axentel technologies pte. ltd.,854996.8
axil scientific pte. ltd.,876484.0
"axion biosystems, inc.",200732.63
axs pte. ltd.,980000.0
axxel marketing pte ltd,41730049000.0
ay designs pte ltd,309850.0
az united pte. ltd.,476472.25
azaas pte. ltd.,500000.0
azbil singapore pte. ltd.,5183631.0
azendian solutions pte. ltd.,3046707.03
azeus systems limited,93000.0
aztech technologies pte. ltd.,7300000.0
azure pte. ltd.,979335.0
b barcelona consulting pte. ltd.,210000.0
b p tan registered surveyor,167393.0
b'arts int'l events pte. ltd.,8645.0
b. braun singapore pte ltd,441200.0
b.t. group pte. ltd.,937780.0
b.t. sports pte ltd,661700.0
b19 technologies pte. ltd.,67100000.0
b2k pet products pte. ltd.,102710.12
bachy soletanche singapore pte ltd-wai fong construction pte ltd joint venture,293858081.1
baizonn pte. ltd.,493320.0
bakels singapore (private) limited,410300.0
baker & mckenzie.wong & leow,63790.0
ballyhoo exhibitions & events pte. ltd.,383599.0
ban chon corporation & trading pte ltd,21209800.0
ban choon marketing pte ltd,158999.95
ban chuan trading & engineering pte ltd,643200.0
ban hock hin company private limited,1304064.0
ban nee chen pte. ltd.,228360.0
ban tiong soon contractor pte. ltd.,7411600.0
baron asia group pte. ltd.,295.8
barton bruce shaw pte. ltd.,0.0
basepower enterprises pty ltd,140129.92
bates singapore asia pte. ltd.,369334.0
bautec pacific pte. ltd.,83600.0
bazgym consultancy pte. ltd.,148684.0
bbdo singapore pte ltd,2797508.08
bcd engineering pte ltd,72830.0
bct technology pte. ltd.,227120.0
bdl group architects,8.5
bdo consultants pte. ltd.,310900.0
bdo llp,986420.0
bdrc asia pte. ltd.,52000.0
beacon consulting pte ltd,381280.0
beacon educational supplies pte ltd,5610.0
beau voix uniform,450197.0
bec consultants,147000.0
beca carter hollings & ferner (s.e.asia) pte ltd,776300.0
beckhoff automation pte. ltd.,129658.0
beckman coulter singapore pte. ltd.,7359046.0
bedok transport pte. ltd.,277980.0
bee kong electrical engineering pte ltd,4811312.0
bee teck international pte. ltd.,408600.0
beenet singapore pte ltd,4856675.93
behavioural insights (singapore) pte. ltd.,537550.0
"beijing balfour technology co., ltd.",140045.4
beijing hua chuang zhi yuan ke ji you xian gong si,89920.8
"beijing johnson controls co., ltd shanghai office",59643.6
beijing riskcontrol co ltd,679378.39
beijing yi kun yuan lin gong cheng you xian gong si,108352.08
bell & bow agency,164220.0
ben foods (s) pte ltd,21250.010000000002
ben productions,31360.0
benchmark technologies,143238.0
benco maritime pte. ltd.,256800.0
beng heng engineering pte ltd,2189000.0
beng siew construction pte ltd,782700.0
beng soon machinery services (singapore) pte ltd,1875001.0
benly construction company pte. ltd.,20500.0
bentley systems singapore pte ltd,430312.84
bentz jaz singapore pte ltd,343300.0
bepa consultant international,49653.0
bergen equipment pte. ltd.,344100.0
"bermello, ajamil & partners, inc.",399950.0
bes technology pte. ltd.,571438.0
besco building supplies (s.e.a.) pte. ltd.,6943508.0
bescon consulting engineers pte,361000.0
besley & pike (singapore) pte. ltd.,3.25
best chemical co (s) pte ltd,135000.0
bestlink auto pte ltd,60000.0
beth-el (asia pacific) pte. ltd.,600450.0
bevital as,180450.0
bexource pte. ltd.,660189.69
bgc group pte. ltd.,3678238.33
"bgi tech solutions (hongkong) co., limited",642670.7
bhatch architects,1998000.0
bhcc construction pte. ltd.,323273350.0
bhl construction pte. ltd.,1032000.0
bholat- safeguard company limited,289342.0
bian hin co. (singapore) private limited,3836669.0
bibi & baba private limited,227232.69999999998
big foot logistic pte ltd,2891576.0
bigtree pictures pte. ltd.,109950.0
binjai interior design pte ltd,1261058.0
bintai kindenko pte ltd,144747342.8
bio laboratories pte ltd,1683600.25
bio-flora (singapore) pte. ltd.,53642.0
bio-rad laboratories (singapore) pte ltd,3300278.0
bio-rev pte. ltd.,36517.83
biomed diagnostics pte ltd,3711710.14
biomedix singapore pte. ltd.,1626557.5
biomerieux singapore pte. ltd.,21712.0
biscuit box,207500.0
biz@dpcloud pte. ltd.,14854.0
bizlink centre singapore ltd,442872.6
black & veatch (sea) pte. ltd.,114831800.0
black canvas llp,150000.0
black design pte. ltd.,1080359.0
blackblue media group pte. ltd.,1203071.7
blackbox research pte ltd,1883086.0
blackrock (singapore) limited,473000.0
blade club,18000.0
bloom consulting services pte. ltd.,59000.0
bloomberg finance l.p.,69541.82
blue dot learning pte. ltd.,126560.0
blue lake consultancy services,419680.0
blue ocean harvest pte. ltd.,221140.0
blue orange pte ltd,736238.0
blue speed construction pte ltd,97000.0
bluefors cryogenics oy,2282606.74
blueocean memtech pte. ltd.,254600.0
bluesg pte. ltd.,1300000.0
bluestone corporation pte ltd,454000.0
bluetel networks pte. ltd.,1752000.0
blugraph technologies pte. ltd.,498814.0
bm building pte ltd,208746.0
bms contractors pte ltd,459317.0
bms engineering and trading pte. ltd.,1537080.0
bms engineers pte ltd,14330.0
bmt asia pacific pte ltd,173550.0
bnf engineering (s) pte ltd,16790750.0
bnl services pte ltd,19237503.36
bnl waste management pte. ltd.,85400.0
bnp paribas securities services,3.9
bok kok chuan,114000.0
bolsen marine systems pte. ltd.,39520.0
boon guan construction pte ltd,8145710.0
boon poh refuse disposal pte. ltd.,722730.0
boon wee const (s) pte. ltd.,1736038.0
boon yong electrical pte ltd,310440.0
borneo air-conditioning & engineering,534900.0
borneo motors (singapore) pte. ltd.,5205388.590000001
bosch rexroth pte ltd,370000.0
bossa nova technologies llc,383500.0
bourgeois enterprise,950680.0
brainshake oy,122480.0
brand courage pte. ltd.,357230.0
brickston transport service,134400.0
brilliant corp (s) pte. ltd.,217047.4
brilliant general building construction pte ltd,3702210.74
brinda's pte ltd,15824.0
brio construction & engineering pte. ltd.,1670127.8599999999
briq pte. ltd.,188028.0
british council (singapore) limited,880680.0
brk international pte. ltd.,641808.0
broadcast communications international pte. ltd.,229328.0
broadcast engineering services pte ltd,2708500.0
broadcast professional pte. ltd.,3821491.33
bronjo medi,1431409.31
brooklyn-media private limited,125220.0
"brown & brown of garden city, inc.",470565.73000000004
bruker singapore pte. ltd.,20723085.67
brunswick group pte. limited,143000.0
bryan boiler engineering pte ltd,11389267.0
bsg landscape & construction pte. ltd.,19638331.07
bsi (1990) pte. ltd.,12470000.0
bt global services technologies pte. ltd.,1099980.0
bt global solutions pte. ltd.,1104618.37
bt&tan transport pte. ltd.,1231245.6
btw technology pte ltd,1168711.24
buchi singapore pte. ltd.,82900.0
build-max construction pte ltd,299035.0
build-up moulding & machining,300000.0
builder 90 pte ltd,46112778.0
builder max-jm pte. ltd.,1243800.0
builders 72 pte. ltd.,2067750.0
buildforms construction (pte.) ltd.,0.0
building construction co. (private) limited,33970840.0
buildwerkz builders pte. ltd.,430247.19
built force construction pte ltd,9328800.0
built pty ltd,378265.67
bulls-eye security services pte. ltd.,115200.0
bureau pte. ltd.,110000.0
bureauserve pte ltd,10885936.0
burning glass international inc.,890548.0
burson-marsteller (s.e.a.) pte. ltd.,627600.0
bus-plus services pte ltd,421944.0
busads pte ltd,1270145.0
business continuity planning asia pte. ltd.,39100.0
business edge personnel services pte ltd,7752757.4
bw furniture pte. ltd.,87768.0
bynder b.v.,186148.46
byzoro networks ltd.,339540.0
c & h properties pte ltd,1.0
c & p rent-a-car (pte.) ltd.,3102910.0
c k t thomas private limited,23137886.0
c&r interiors pte. ltd.,3337899.0
c&w services (s) pte. ltd.,98359551.65999998
c&w services operations pte. ltd.,1548259.0
c. melchers gmbh & co singapore branch,130374.0
c.k. toh construction pte. ltd.,161600.0
c.p.ong construction pte ltd,9710703.0
c2 creative communications pte. ltd.,8165961.61
c@nspecs pte. ltd.,1725451.94
ca facilities pte. ltd.,8262623.17
ca m&e engineering pte. ltd.,15610157.73
caa international limited,101177.0
cabcharge asia pte ltd,0.05
cable care pte. ltd.,3483620.8
cables & utilities detection services pte ltd,98000.0
cad-it consultants (asia) pte ltd,200000.0
cadence design systems (ireland) limited,922329.6
cae singapore (s.e.a.) pte. ltd.,7878099.4399999995
cafe galilee pte ltd,368416.5
cafe-bar services,680000.0
caga consultants pte. ltd.,80000.0
caisson engineering pte ltd,1760000.0
cak & fg survey pte. ltd.,1694504.0
cake theatrical productions ltd,100000.0
calibre consulting (singapore) pte. ltd.,924606.0
caliper pte. ltd.,174860.0
callaghan innovation research limited,695000.0
caltron pte. limited,391990.5
calvary construction pte. ltd.,3053691.0
calytron engineering pte ltd,614500.0
cambridge associates asia pte ltd,930000.0
cambridge economic policy associates ltd,11680.0
camelot pte. ltd.,739685.0
cameratraps asia sdn. bhd.,111816.7
camp challenge pte. ltd.,35720.0
camp high achievers pte. ltd.,1159720.0
campaign complete solutions pte. ltd.,6326056.0
canact pte. ltd.,1764008.0
canon singapore pte. ltd.,302389.13
capelle consulting pte. ltd.,1306675.0
capgemini singapore pte. ltd.,1698556.0
capita pte. ltd.,210803.57
captured pte. ltd.,51900.0
carat media services singapore pte ltd,1.0
carbon interactive pte. ltd.,2988140.0
card techno pte. ltd.,1.0
careerbuilder (singapore) pte. ltd.,361160.0
carl zeiss pte. ltd.,6622571.0
carrey hill events pte. ltd.,106088.0
carrier singapore (pte) limited,1032080.0
casserole catering services pte. ltd.,614.3
cast laboratories pte ltd,16269412.67
castillon security (s) pte. ltd.,4081200.0
casuarina services pte. ltd.,687000.0
casy consultancy services,12.0
cathay interiors pte. ltd.,166000.0
cathay photo store (private) limited,2485200.46
"cathy callegari public relations, inc.",185705.91
caxton electrical pte ltd,156840.0
cbd evision pte ltd,1878070.0
cbm pte. ltd.,25640832.0
cbm qatar llc,205056.0
cbm security pte. ltd.,2123294.0
cbm solutions pte. ltd.,77862.0
cbre pte. ltd.,7107902.06
"cbre, inc",1.45
cca & partners pte. ltd.,3916000.0
ccecc singapore pte ltd,88762434.99
cd imaging pte ltd,1129847.6700000002
cemecon ag.,196860.0
cementone [s] pte ltd,1402551.5
cems marketing pte ltd,72900.0
center for creative leadership,253530.0
central chambers law corporation,1292730.0
centre for performance transformation (pte.) ltd.,771480.0
centre for seniors,82000.0
centre for social emotional learning (sel),179400.0
century properties management inc,329044.69
cerberus security pte. ltd.,264950.0
cert consultancy group pte. ltd.,61989.0
certis cisco auxiliary police force pte. ltd.,320065572.84000003
certis cisco protection services pte. ltd.,49831178.07
certis cisco secure logistics pte. ltd.,3854149.45
certis cisco security pte. ltd.,1053582.0
certis guarding services llc,158284.0
certis llc,277022.58
certis management services pte. ltd.,1189572.0
certis technology (singapore) pte. ltd.,32875807.0
ces engineering & construction pte. ltd.,191850000.0
cesma international private limited,3643574.3
cflt (s) pte. ltd.,237778.0
cfm holdings limited,25774.0
cgng architects,130000.0
ch2m hill singapore consulting pte. ltd.,59500.0
ch2m hill singapore private limited,203950006.0
chambers property management s ervices pte ltd,8270000.0
chameleon events pte. ltd.,952258.9
chan & chan engineering pte. ltd.,45389900.0
chan bus services,529717.0
chan poh geok,101750.0
chan rong fen building construction pte ltd,159800000.0
chang hua construction pte ltd,126630617.2
changi general hospital pte ltd,339620.0
chao sheng fire protection works pte ltd,261148.0
chaplin design pte ltd,148700.0
characterlasts,247500.0
